Product_Name,Category,Date,Units_Sold
Tomatoes,Fruits & Vegetables,2023-01-07,107
Tuna (Canned),Meat & Seafood,2023-01-07,143
Vegetable Oil,Oils & Fats,2023-01-07,133
Whole Wheat Bread,Grains & Staples,2023-01-07,190
Bananas,Fruits & Vegetables,2023-01-08,217
Bell Pepper,Fruits & Vegetables,2023-01-08,80
Butter (250g),Oils & Fats,2023-01-08,109
Cheddar Cheese,Dairy & Eggs,2023-01-08,99
Chicken Breast,Meat & Seafood,2023-01-08,185
Cumin Powder,Condiments & Spices,2023-01-08,50
Dark Chocolate,Snacks & Confectionery,2023-01-08,98
Eggs (12pk),Dairy & Eggs,2023-01-08,225
Frozen Peas (500g),Frozen Foods,2023-01-08,80
Frozen Pizza,Frozen Foods,2023-01-08,87
Greek Yogurt,Dairy & Eggs,2023-01-08,62
Green Tea (20pk),Beverages,2023-01-08,105
Ground Beef,Meat & Seafood,2023-01-08,119
Honey (500g),Snacks & Confectionery,2023-01-08,66
Milk (1L),Dairy & Eggs,2023-01-08,213
Mineral Water (2L),Beverages,2023-01-08,204
Oats (1kg),Grains & Staples,2023-01-08,128
Olive Oil,Oils & Fats,2023-01-08,68
Onions,Fruits & Vegetables,2023-01-08,70
Orange Juice (1L),Beverages,2023-01-08,98
Pasta (500g),Grains & Staples,2023-01-08,147
Potato Chips,Snacks & Confectionery,2023-01-08,123
Potatoes,Fruits & Vegetables,2023-01-08,156
Rice (5kg),Grains & Staples,2023-01-08,239
Salmon Fillet,Meat & Seafood,2023-01-08,71
Soy Sauce (300ml),Condiments & Spices,2023-01-08,95
Spinach,Fruits & Vegetables,2023-01-08,99
Tomato Ketchup,Condiments & Spices,2023-01-08,82
Tomatoes,Fruits & Vegetables,2023-01-08,64
Tuna (Canned),Meat & Seafood,2023-01-08,138
Vegetable Oil,Oils & Fats,2023-01-08,145
Whole Wheat Bread,Grains & Staples,2023-01-08,196
Bananas,Fruits & Vegetables,2023-01-09,161
Bell Pepper,Fruits & Vegetables,2023-01-09,50
Butter (250g),Oils & Fats,2023-01-09,90
Cheddar Cheese,Dairy & Eggs,2023-01-09,76
Chicken Breast,Meat & Seafood,2023-01-09,125
Cumin Powder,Condiments & Spices,2023-01-09,64
Dark Chocolate,Snacks & Confectionery,2023-01-09,91
Eggs (12pk),Dairy & Eggs,2023-01-09,199
Frozen Peas (500g),Frozen Foods,2023-01-09,79
Frozen Pizza,Frozen Foods,2023-01-09,61
Greek Yogurt,Dairy & Eggs,2023-01-09,64
Green Tea (20pk),Beverages,2023-01-09,73
Ground Beef,Meat & Seafood,2023-01-09,71
Honey (500g),Snacks & Confectionery,2023-01-09,55
Milk (1L),Dairy & Eggs,2023-01-09,178
Mineral Water (2L),Beverages,2023-01-09,178
Oats (1kg),Grains & Staples,2023-01-09,93
Olive Oil,Oils & Fats,2023-01-09,62
Onions,Fruits & Vegetables,2023-01-09,93
Orange Juice (1L),Beverages,2023-01-09,100
Pasta (500g),Grains & Staples,2023-01-09,178
Potato Chips,Snacks & Confectionery,2023-01-09,109
Potatoes,Fruits & Vegetables,2023-01-09,155
Rice (5kg),Grains & Staples,2023-01-09,205
Salmon Fillet,Meat & Seafood,2023-01-09,75
Soy Sauce (300ml),Condiments & Spices,2023-01-09,69
Spinach,Fruits & Vegetables,2023-01-09,45
Tomato Ketchup,Condiments & Spices,2023-01-09,84
Tomatoes,Fruits & Vegetables,2023-01-09,65
Tuna (Canned),Meat & Seafood,2023-01-09,139
Vegetable Oil,Oils & Fats,2023-01-09,104
Whole Wheat Bread,Grains & Staples,2023-01-09,134
Bananas,Fruits & Vegetables,2023-01-10,168
Bell Pepper,Fruits & Vegetables,2023-01-10,66
Butter (250g),Oils & Fats,2023-01-10,86
Cheddar Cheese,Dairy & Eggs,2023-01-10,87
Chicken Breast,Meat & Seafood,2023-01-10,131
Cumin Powder,Condiments & Spices,2023-01-10,52
Dark Chocolate,Snacks & Confectionery,2023-01-10,85
Eggs (12pk),Dairy & Eggs,2023-01-10,231
Frozen Peas (500g),Frozen Foods,2023-01-10,100
Frozen Pizza,Frozen Foods,2023-01-10,76
Greek Yogurt,Dairy & Eggs,2023-01-10,64
Green Tea (20pk),Beverages,2023-01-10,81
Ground Beef,Meat & Seafood,2023-01-10,60
Honey (500g),Snacks & Confectionery,2023-01-10,56
Milk (1L),Dairy & Eggs,2023-01-10,178
Mineral Water (2L),Beverages,2023-01-10,122
Oats (1kg),Grains & Staples,2023-01-10,90
Olive Oil,Oils & Fats,2023-01-10,61
Onions,Fruits & Vegetables,2023-01-10,78
Orange Juice (1L),Beverages,2023-01-10,76
Pasta (500g),Grains & Staples,2023-01-10,137
Potato Chips,Snacks & Confectionery,2023-01-10,48
Potatoes,Fruits & Vegetables,2023-01-10,145
Rice (5kg),Grains & Staples,2023-01-10,203
Salmon Fillet,Meat & Seafood,2023-01-10,55
Soy Sauce (300ml),Condiments & Spices,2023-01-10,72
Spinach,Fruits & Vegetables,2023-01-10,59
Tomato Ketchup,Condiments & Spices,2023-01-10,70
Tomatoes,Fruits & Vegetables,2023-01-10,60
Tuna (Canned),Meat & Seafood,2023-01-10,109
Vegetable Oil,Oils & Fats,2023-01-10,121
Whole Wheat Bread,Grains & Staples,2023-01-10,161
Bananas,Fruits & Vegetables,2023-01-11,209
Bell Pepper,Fruits & Vegetables,2023-01-11,51
Butter (250g),Oils & Fats,2023-01-11,92
Cheddar Cheese,Dairy & Eggs,2023-01-11,74
Chicken Breast,Meat & Seafood,2023-01-11,196
Cumin Powder,Condiments & Spices,2023-01-11,47
Dark Chocolate,Snacks & Confectionery,2023-01-11,100
Eggs (12pk),Dairy & Eggs,2023-01-11,258
Frozen Peas (500g),Frozen Foods,2023-01-11,83
Frozen Pizza,Frozen Foods,2023-01-11,55
Greek Yogurt,Dairy & Eggs,2023-01-11,67
Green Tea (20pk),Beverages,2023-01-11,98
Ground Beef,Meat & Seafood,2023-01-11,78
Honey (500g),Snacks & Confectionery,2023-01-11,48
Milk (1L),Dairy & Eggs,2023-01-11,170
Mineral Water (2L),Beverages,2023-01-11,185
Oats (1kg),Grains & Staples,2023-01-11,107
Olive Oil,Oils & Fats,2023-01-11,62
Onions,Fruits & Vegetables,2023-01-11,77
Orange Juice (1L),Beverages,2023-01-11,73
Pasta (500g),Grains & Staples,2023-01-11,158
Potato Chips,Snacks & Confectionery,2023-01-11,95
Potatoes,Fruits & Vegetables,2023-01-11,150
Rice (5kg),Grains & Staples,2023-01-11,173
Salmon Fillet,Meat & Seafood,2023-01-11,69
Soy Sauce (300ml),Condiments & Spices,2023-01-11,49
Spinach,Fruits & Vegetables,2023-01-11,57
Tomato Ketchup,Condiments & Spices,2023-01-11,51
Tomatoes,Fruits & Vegetables,2023-01-11,98
Tuna (Canned),Meat & Seafood,2023-01-11,148
Vegetable Oil,Oils & Fats,2023-01-11,116
Whole Wheat Bread,Grains & Staples,2023-01-11,163
Bananas,Fruits & Vegetables,2023-01-12,144
Bell Pepper,Fruits & Vegetables,2023-01-12,51
Butter (250g),Oils & Fats,2023-01-12,81
Cheddar Cheese,Dairy & Eggs,2023-01-12,97
Chicken Breast,Meat & Seafood,2023-01-12,153
Cumin Powder,Condiments & Spices,2023-01-12,48
Dark Chocolate,Snacks & Confectionery,2023-01-12,86
Eggs (12pk),Dairy & Eggs,2023-01-12,218
Frozen Peas (500g),Frozen Foods,2023-01-12,105
Frozen Pizza,Frozen Foods,2023-01-12,74
Greek Yogurt,Dairy & Eggs,2023-01-12,74
Green Tea (20pk),Beverages,2023-01-12,70
Ground Beef,Meat & Seafood,2023-01-12,62
Honey (500g),Snacks & Confectionery,2023-01-12,49
Milk (1L),Dairy & Eggs,2023-01-12,180
Mineral Water (2L),Beverages,2023-01-12,160
Oats (1kg),Grains & Staples,2023-01-12,102
Olive Oil,Oils & Fats,2023-01-12,73
Onions,Fruits & Vegetables,2023-01-12,131
Orange Juice (1L),Beverages,2023-01-12,58
Pasta (500g),Grains & Staples,2023-01-12,152
Potato Chips,Snacks & Confectionery,2023-01-12,77
Potatoes,Fruits & Vegetables,2023-01-12,147
Rice (5kg),Grains & Staples,2023-01-12,194
Salmon Fillet,Meat & Seafood,2023-01-12,63
Soy Sauce (300ml),Condiments & Spices,2023-01-12,72
Spinach,Fruits & Vegetables,2023-01-12,75
Tomato Ketchup,Condiments & Spices,2023-01-12,54
Tomatoes,Fruits & Vegetables,2023-01-12,73
Tuna (Canned),Meat & Seafood,2023-01-12,128
Vegetable Oil,Oils & Fats,2023-01-12,135
Whole Wheat Bread,Grains & Staples,2023-01-12,163
Bananas,Fruits & Vegetables,2023-01-13,137
Bell Pepper,Fruits & Vegetables,2023-01-13,62
Butter (250g),Oils & Fats,2023-01-13,93
Cheddar Cheese,Dairy & Eggs,2023-01-13,96
Chicken Breast,Meat & Seafood,2023-01-13,166
Cumin Powder,Condiments & Spices,2023-01-13,46
Dark Chocolate,Snacks & Confectionery,2023-01-13,78
Eggs (12pk),Dairy & Eggs,2023-01-13,227
Frozen Peas (500g),Frozen Foods,2023-01-13,72
Frozen Pizza,Frozen Foods,2023-01-13,71
Greek Yogurt,Dairy & Eggs,2023-01-13,51
Green Tea (20pk),Beverages,2023-01-13,78
Ground Beef,Meat & Seafood,2023-01-13,83
Honey (500g),Snacks & Confectionery,2023-01-13,49
Milk (1L),Dairy & Eggs,2023-01-13,179
Mineral Water (2L),Beverages,2023-01-13,159
Oats (1kg),Grains & Staples,2023-01-13,131
Olive Oil,Oils & Fats,2023-01-13,72
Onions,Fruits & Vegetables,2023-01-13,85
Orange Juice (1L),Beverages,2023-01-13,80
Pasta (500g),Grains & Staples,2023-01-13,153
Potato Chips,Snacks & Confectionery,2023-01-13,74
Potatoes,Fruits & Vegetables,2023-01-13,149
Rice (5kg),Grains & Staples,2023-01-13,229
Salmon Fillet,Meat & Seafood,2023-01-13,76
Soy Sauce (300ml),Condiments & Spices,2023-01-13,62
Spinach,Fruits & Vegetables,2023-01-13,54
Tomato Ketchup,Condiments & Spices,2023-01-13,76
Tomatoes,Fruits & Vegetables,2023-01-13,90
Tuna (Canned),Meat & Seafood,2023-01-13,108
Vegetable Oil,Oils & Fats,2023-01-13,134
Whole Wheat Bread,Grains & Staples,2023-01-13,156
Bananas,Fruits & Vegetables,2023-01-14,218
Bell Pepper,Fruits & Vegetables,2023-01-14,41
Butter (250g),Oils & Fats,2023-01-14,126
Cheddar Cheese,Dairy & Eggs,2023-01-14,95
Chicken Breast,Meat & Seafood,2023-01-14,148
Cumin Powder,Condiments & Spices,2023-01-14,57
Dark Chocolate,Snacks & Confectionery,2023-01-14,110
Eggs (12pk),Dairy & Eggs,2023-01-14,285
Frozen Peas (500g),Frozen Foods,2023-01-14,94
Frozen Pizza,Frozen Foods,2023-01-14,91
Greek Yogurt,Dairy & Eggs,2023-01-14,102
Green Tea (20pk),Beverages,2023-01-14,103
Ground Beef,Meat & Seafood,2023-01-14,119
Honey (500g),Snacks & Confectionery,2023-01-14,53
Milk (1L),Dairy & Eggs,2023-01-14,219
Mineral Water (2L),Beverages,2023-01-14,206
Oats (1kg),Grains & Staples,2023-01-14,127
Olive Oil,Oils & Fats,2023-01-14,79
Onions,Fruits & Vegetables,2023-01-14,84
Orange Juice (1L),Beverages,2023-01-14,98
Pasta (500g),Grains & Staples,2023-01-14,198
Potato Chips,Snacks & Confectionery,2023-01-14,115
Potatoes,Fruits & Vegetables,2023-01-14,154
Rice (5kg),Grains & Staples,2023-01-14,228
Salmon Fillet,Meat & Seafood,2023-01-14,90
Soy Sauce (300ml),Condiments & Spices,2023-01-14,66
Spinach,Fruits & Vegetables,2023-01-14,89
Tomato Ketchup,Condiments & Spices,2023-01-14,80
Tomatoes,Fruits & Vegetables,2023-01-14,53
Tuna (Canned),Meat & Seafood,2023-01-14,149
Vegetable Oil,Oils & Fats,2023-01-14,152
Whole Wheat Bread,Grains & Staples,2023-01-14,215
Bananas,Fruits & Vegetables,2023-01-15,192
Bell Pepper,Fruits & Vegetables,2023-01-15,44
Butter (250g),Oils & Fats,2023-01-15,108
Cheddar Cheese,Dairy & Eggs,2023-01-15,94
Chicken Breast,Meat & Seafood,2023-01-15,167
Cumin Powder,Condiments & Spices,2023-01-15,43
Dark Chocolate,Snacks & Confectionery,2023-01-15,109
Eggs (12pk),Dairy & Eggs,2023-01-15,246
Frozen Peas (500g),Frozen Foods,2023-01-15,101
Frozen Pizza,Frozen Foods,2023-01-15,86
Greek Yogurt,Dairy & Eggs,2023-01-15,82
Green Tea (20pk),Beverages,2023-01-15,103
Ground Beef,Meat & Seafood,2023-01-15,93
Honey (500g),Snacks & Confectionery,2023-01-15,69
Milk (1L),Dairy & Eggs,2023-01-15,217
Mineral Water (2L),Beverages,2023-01-15,172
Oats (1kg),Grains & Staples,2023-01-15,148
Olive Oil,Oils & Fats,2023-01-15,76
Onions,Fruits & Vegetables,2023-01-15,90
Orange Juice (1L),Beverages,2023-01-15,85
Pasta (500g),Grains & Staples,2023-01-15,212
Potato Chips,Snacks & Confectionery,2023-01-15,74
Potatoes,Fruits & Vegetables,2023-01-15,188
Rice (5kg),Grains & Staples,2023-01-15,234
Salmon Fillet,Meat & Seafood,2023-01-15,92
Soy Sauce (300ml),Condiments & Spices,2023-01-15,69
Spinach,Fruits & Vegetables,2023-01-15,96
Tomato Ketchup,Condiments & Spices,2023-01-15,82
Tomatoes,Fruits & Vegetables,2023-01-15,89
Tuna (Canned),Meat & Seafood,2023-01-15,161
Vegetable Oil,Oils & Fats,2023-01-15,141
Whole Wheat Bread,Grains & Staples,2023-01-15,185
Bananas,Fruits & Vegetables,2023-01-16,164
Bell Pepper,Fruits & Vegetables,2023-01-16,50
Butter (250g),Oils & Fats,2023-01-16,92
Cheddar Cheese,Dairy & Eggs,2023-01-16,57
Chicken Breast,Meat & Seafood,2023-01-16,182
Cumin Powder,Condiments & Spices,2023-01-16,49
Dark Chocolate,Snacks & Confectionery,2023-01-16,86
Eggs (12pk),Dairy & Eggs,2023-01-16,228
Frozen Peas (500g),Frozen Foods,2023-01-16,94
Frozen Pizza,Frozen Foods,2023-01-16,58
Greek Yogurt,Dairy & Eggs,2023-01-16,76
Green Tea (20pk),Beverages,2023-01-16,75
Ground Beef,Meat & Seafood,2023-01-16,84
Honey (500g),Snacks & Confectionery,2023-01-16,62
Milk (1L),Dairy & Eggs,2023-01-16,190
Mineral Water (2L),Beverages,2023-01-16,175
Oats (1kg),Grains & Staples,2023-01-16,92
Olive Oil,Oils & Fats,2023-01-16,56
Onions,Fruits & Vegetables,2023-01-16,99
Orange Juice (1L),Beverages,2023-01-16,82
Pasta (500g),Grains & Staples,2023-01-16,160
Potato Chips,Snacks & Confectionery,2023-01-16,56
Potatoes,Fruits & Vegetables,2023-01-16,161
Rice (5kg),Grains & Staples,2023-01-16,190
Salmon Fillet,Meat & Seafood,2023-01-16,76
Soy Sauce (300ml),Condiments & Spices,2023-01-16,54
Spinach,Fruits & Vegetables,2023-01-16,75
Tomato Ketchup,Condiments & Spices,2023-01-16,62
Tomatoes,Fruits & Vegetables,2023-01-16,87
Tuna (Canned),Meat & Seafood,2023-01-16,123
Vegetable Oil,Oils & Fats,2023-01-16,140
Whole Wheat Bread,Grains & Staples,2023-01-16,165
Bananas,Fruits & Vegetables,2023-01-17,156
Bell Pepper,Fruits & Vegetables,2023-01-17,44
Butter (250g),Oils & Fats,2023-01-17,80
Cheddar Cheese,Dairy & Eggs,2023-01-17,69
Chicken Breast,Meat & Seafood,2023-01-17,177
Cumin Powder,Condiments & Spices,2023-01-17,49
Dark Chocolate,Snacks & Confectionery,2023-01-17,88
Eggs (12pk),Dairy & Eggs,2023-01-17,204
Frozen Peas (500g),Frozen Foods,2023-01-17,87
Frozen Pizza,Frozen Foods,2023-01-17,74
Greek Yogurt,Dairy & Eggs,2023-01-17,57
Green Tea (20pk),Beverages,2023-01-17,73
Ground Beef,Meat & Seafood,2023-01-17,79
Honey (500g),Snacks & Confectionery,2023-01-17,61
Milk (1L),Dairy & Eggs,2023-01-17,191
Mineral Water (2L),Beverages,2023-01-17,146
Oats (1kg),Grains & Staples,2023-01-17,87
Olive Oil,Oils & Fats,2023-01-17,78
Onions,Fruits & Vegetables,2023-01-17,83
